year,fuel_type,fuel_consumption_tj,ghg_emission_gg_co2e,net_electricity_generation_gwh
2017,Coal,731160,70116,121844
2017,Natural Gas,408814,22957,121844
2017,Diesel,1673,124,121844
2017,Fuel Oil,2632,204,121844
2018,Coal,801453,76887,123902
2018,Natural Gas,387501,21760,123902
2018,Diesel,1064,79,123902
2018,Fuel Oil,713,55,123902
2019,Coal,739575,70903,129339
2019,Natural Gas,453177,25448,129339
2019,Diesel,13698,1018,129339
2019,Fuel Oil,789,61,129339
2020,Coal,910376,87398,128098
2020,Natural Gas,315848,17736,128098
2020,Diesel,558,41,128098
2020,Fuel Oil,499,39,128098
2021,Coal,822903,79053,129070
2021,Natural Gas,328597,18452,129070
2021,Diesel,2410,179,129070
2021,Fuel Oil,331,26,129070
2022,Coal,843327,81006,136447
2022,Natural Gas,415597,23338,136447
2022,Diesel,5690,423,136447
2022,Fuel Oil,2552,198,136447
2023,Coal,876297,84197,141091
2023,Natural Gas,407187,22865,141091
2023,Diesel,1590,118,141091
2023,Fuel Oil,753,58,141091
2024,Coal,900941,86599,149301
2024,Natural Gas,424258,23824,149301
2024,Diesel,1213,90,149301
2024,Fuel Oil,544,42,149301
