year,region,gef_gg_co2e_per_gwh,source_publication,provisional
2017,Peninsular,0.767,GEF_2017-2022_20241125,FALSE
2017,Sabah,0.530,GEF_2017-2022_20241125,FALSE
2017,Sarawak,0.213,GEF_2017-2022_20241125,FALSE
2018,Peninsular,0.797,GEF_2017-2022_20241125,FALSE
2018,Sabah,0.500,GEF_2017-2022_20241125,FALSE
2018,Sarawak,0.193,GEF_2017-2022_20241125,FALSE
2019,Peninsular,0.753,GEF_2017-2022_20241125,FALSE
2019,Sabah,0.548,GEF_2017-2022_20241125,FALSE
2019,Sarawak,0.222,GEF_2017-2022_20241125,FALSE
2020,Peninsular,0.821,GEF_2017-2022_20241125,FALSE
2020,Sabah,0.503,GEF_2017-2022_20241125,FALSE
2020,Sarawak,0.203,GEF_2017-2022_20241125,FALSE
2021,Peninsular,0.757,GEF_2017-2022_20241125,FALSE
2021,Sabah,0.524,GEF_2017-2022_20241125,FALSE
2021,Sarawak,0.198,GEF_2017-2022_20241125,FALSE
2022,Peninsular,0.769,GEF_2022-2024_20260223,TRUE
2022,Sabah,0.531,GEF_2022-2024_20260223,TRUE
2022,Sarawak,0.199,GEF_2022-2024_20260223,TRUE
2023,Peninsular,0.760,GEF_2022-2024_20260223,TRUE
2023,Sabah,0.545,GEF_2022-2024_20260223,TRUE
2023,Sarawak,0.206,GEF_2022-2024_20260223,TRUE
2024,Peninsular,0.740,GEF_2022-2024_20260223,TRUE
2024,Sabah,0.539,GEF_2022-2024_20260223,TRUE
2024,Sarawak,0.199,GEF_2022-2024_20260223,TRUE
